species, uniform_all_mean_size, uniform_sig_mean_size, native_all_mean_size, native_sig_mean_size
P_pyralis, 1.1339807191612132, 4.018903591682419, 0.8870363509118604, 4.953488372093023
T_castaneum, 0.6559003588769263, 2.5822306238185253, 0.6462064138981516, 3.3372093023255816
B_siliquastri, 1.0521778903666175, 1.9565217391304348, 1.1232966942488987, 2.953488372093023
I_luminosus, 1.2096967138132433, 4.599243856332703, 1.304351405870487, 8.377906976744185
T_molitor, 0.6881992822461473, 3.325141776937618, 0.8225680293112676, 6.790697674418604
D_melanogaster, 0.8900147772852016, 1.837429111531191, 0.8980692437528303, 2.5348837209302326
C_chinensis, 1.3293223559214693, 3.1379962192816637, 1.681239965419291, 8.517441860465116
Z_morio, 0.7825979874744916, 4.102079395085066, 0.986167716438187, 9.94186046511628
A_verrucosus, 1.1725775807473084, 3.3459357277882797, 1.137211312831913, 4.784883720930233
C_septempunctata, 1.06414045457744, 2.5765595463137996, 0.968959697007122, 3.488372093023256
D_ponderosae, 0.9221729646048835, 2.1474480151228734, 0.882343254703388, 2.63953488372093
A_obtectus, 1.512068116247977, 4.119092627599244, 1.7917747313819934, 6.6976744186046515
C_maculatus, 1.5305045387375977, 3.5198487712665405, 1.4132394714091638, 5.343023255813954
R_ferrugineus, 0.7377031876715221, 2.2362948960302456, 0.8693343213535878, 3.5290697674418605
